deal-looked, 1
like, 3
war, 3
break, 1
out., 2
country’s, 1
biggest, 2
enemy, 1
easily, 2
promulgated, 1
fools, 1
oil, 1
prices, 2
too, 2
high,, 2
opec, 1
again., 1
u.s.,, 2
together, 4
canada,, 2
just, 9
cup., 1
work, 2
save, 2
games,, 1
long, 5
faith, 1
both, 1
sides, 1
before, 2
taking, 3
were, 10
assuming, 1
going, 4
most, 3
dangerous, 1
problem., 1
longer, 3
sleep, 1
well, 4
tonight, 1
landed, 1
trip,, 1
everybody, 1
feel, 1
much, 9
safer, 1
day, 6
office., 1
nuclear, 5
threat, 1
meeting, 5
kim, 7
jong, 2
un, 1
interesting, 1
positive, 1
experience., 1
potential, 2
future, 2
corey, 1
stewart, 1
victory, 1
virginia., 1
runs, 1
against, 4
stiff,, 1
tim, 1
kaine,, 1
weak, 2
wants, 2
raise, 1
through, 1
roof., 1
don’t, 5
underestimate, 1
corey,, 1
major, 2
chance, 2
winning, 2
...realize, 1
it’s, 3
employment, 1
time, 8
companies, 1
pouring, 1
into, 7
country., 3
wake, 1
punchy, 1
robert, 1
de, 1
niro,, 1
low, 2
iq, 1
individual,, 1
received, 1
shots, 1
real, 3
boxers, 1
movies., 1
watched, 1
him, 3
night, 2
truly, 5
believe, 4
may, 3
“punch-drunk.”, 1
guess, 1
doesn’t..., 1
representatives, 2
want, 3
involved, 1
sanford, 4
thinking, 1
few, 1
hours, 1
left, 4
felt, 1
katie, 4
such, 4
candidate,, 1
bad,, 1
give, 2
shot., 1
congrats, 1
arrington, 2
year, 1
pundits, 2
talking, 3
heads,, 1
couldn’t, 1
do, 7
job, 4
before,, 1
begging, 1
conciliation, 1
peace, 3
“please, 1
meet,, 2
war.”, 1
meet, 3
un,, 1
same, 2
haters, 2
shout, 1
out,, 1
“you, 1
shouldn’t, 1
taken, 1
step, 2
catastrophe, 1
rocket, 1
launches,, 1
testing, 1
or, 9
research, 3
hostages, 2
home, 3
families., 1
chairman, 3
kim,, 1
historic, 2
first, 5
bold, 1
toward, 1
bright, 1
unprecedented, 1
–, 3
between, 3
leader, 2
proves, 2
change, 2
possible, 1
limit, 1
noko, 1
achieve, 2
gives, 1
its, 2
weapons, 1
embraces, 1
commerce, 1
engagement, 1
w/, 1
world., 2
opportunity, 2
remembered, 1
ushered, 1
glorious, 1
era, 1
security, 3
prosperity, 2
citizens, 1
it's, 1
another, 2
maga, 1
rally., 1
join, 1
duluth,, 1
minnesota, 1
wednesday,, 1
june, 2
20th, 1
6:30pm, 1
here, 1
video,, 1
“a, 1
story, 1
opportunity”, 1
shared, 1
jong-un, 3
singaporesummit, 2
...got, 1
wonderful, 5
earlier, 1
today:, 1
anyone, 1
war,, 1
courageous, 1
heading, 2
singapore, 5
after, 3
amazing, 1
visit., 1
progress, 1
made, 3
denuclearization, 1
home,, 1
remains, 1
heroes, 1
families,, 1
missiles, 1
shot,, 1
happening,, 1
sites, 1
closing..., 1
unhelpful, 1
maga., 1
mia, 1
nothing, 8
trouble., 1
better, 3
off, 4
argentina., 1
fully, 2
congress, 2
sc,, 1
love., 1
she, 3
continue, 3
fight, 4
taxes., 2
adam, 2
laxalt, 1
governor, 1
smart,, 1
works, 1
hard,, 1
knows, 1
how, 3
win., 3
governor., 2
also,, 1
larry, 1
kudlow,, 1
working, 5
trade, 24
suffered, 1
heart, 1
attack., 1
walter, 1
reed, 1
medical, 1
center., 1
supreme, 2
court, 2
decision, 1
voting, 1
fact, 4
having, 1
loss, 1
say, 2
losers., 1
hostages,, 1
testing,, 1
missle, 1
launches, 1
stoped,, 1
these, 3
pundits,, 1
called, 3
beginning,, 1
else, 2
fine, 1
stock, 1
market, 2
40%, 1
since, 3
7, 2
trillion, 3
dollars, 3
u.s., 17
value, 2
built, 1
throughout, 1
economy., 1
lowest, 4
unemployment, 3
rate, 1
decades,, 3
black, 1
hispanic, 1
history,, 1
female, 1
21, 1
confidence, 1
meetings, 2
staffs, 1
quickly....but, 1
end,, 1
matter., 1
soon, 2
whether, 1
deal,, 1
unlike, 3
those, 2
past,, 1
happen, 2
